grupo_id,grupo,especie_id,especie,especie_activa,variedad_id,variedad,variedad_activa,presentacion_id,presentacion,kg_por_unidad,presentacion_activa,presentacion_default
1,"Hortalizas de Hoja, Brote e Inflorescencias",26,Nabiza,1,43,-,1,349,Atado,1.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",26,Nabiza,1,43,-,1,396,Docena,14,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",27,Nabo,1,44,-,1,32,Atado,1.167,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",27,Nabo,1,44,-,1,33,Docena,14,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",27,Nabo,1,327,Daikon,0,,,,,
1,"Hortalizas de Hoja, Brote e Inflorescencias",27,Nabo,1,306,Japonés,1,350,Docena,14,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",93,Nabo japonés,1,,,,,,,,
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,22,-,1,718,Atado,0.583,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,22,-,1,382,Docena,7,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,250,Común,0,34,Atado,0.583,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,250,Común,0,563,Docena,7,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,251,Crespo,0,356,Atado,0.583,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,251,Crespo,0,564,Docena,7,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,366,Crespo,1,716,Docena,7,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",16,Perejil,1,251,Crespo,0,35,Sobre,0.583,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",17,Puerro,1,23,-,1,36,Docena,8,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",29,Rabanito,1,52,-,1,37,Docena,8,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",18,Radicchio,1,24,-,1,383,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",18,Radicchio,1,312,Rosso,0,366,Atado,1,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",18,Radicchio,1,312,Rosso,0,619,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",18,Radicchio,1,312,Rosso,0,359,Sobre,1,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",74,Radicha,1,174,-,1,365,Atado,0.417,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",74,Radicha,1,174,-,1,504,Docena,5,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",74,Radicha,1,174,-,1,358,Sobre,0.417,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",30,Remolacha,1,53,-,1,404,-,15,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",30,Remolacha,1,53,-,1,39,Descolada,20,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",30,Remolacha,1,53,-,1,38,Docena,15,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",30,Remolacha,1,322,Descolada,0,,,,,
1,"Hortalizas de Hoja, Brote e Inflorescencias",19,Repollito de Bruselas,1,25,-,1,43,Bandeja,0.417,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",19,Repollito de Bruselas,1,25,-,1,384,Docena,5,1,1
1,"Hortalizas de Hoja, Brote e Inflorescencias",20,Repollo,1,26,Blanco,1,40,Docena,18,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",20,Repollo,1,27,Colorado,1,385,Docena,12,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",20,Repollo,1,28,Crespo,1,42,Docena,12,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",20,Repollo,1,229,Rojo,0,41,Docena,12,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",21,Rucula,1,29,-,1,45,Atado,0.167,0,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",21,Rucula,1,29,-,1,386,Docena,1,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",21,Rucula,1,29,-,1,44,Sobre,0.083,1,0
1,"Hortalizas de Hoja, Brote e Inflorescencias",69,Sin especie,0,168,Sin variedad,0,,,,,
2,Exóticos/Importados,59,Ananá,1,157,Hawai,0,492,caja,1,0,0
2,Exóticos/Importados,59,Ananá,1,158,Pérola(Piña),1,493,caja,12,0,0
2,Exóticos/Importados,59,Ananá,1,158,Pérola(Piña),1,124,Caja,12,1,0
2,Exóticos/Importados,109,Arazá,1,272,Amarillo,0,584,-,1.125,1,0
2,Exóticos/Importados,109,Arazá,1,272,Amarillo,0,196,Petaca,0.125,1,0
2,Exóticos/Importados,109,Arazá,1,271,Rojo,1,583,-,1,1,0
2,Exóticos/Importados,109,Arazá,1,271,Rojo,1,197,Petaca,0.125,1,0
2,Exóticos/Importados,60,Banana,1,159,Brasilera,0,494,-,1,0,0
2,Exóticos/Importados,60,Banana,1,238,Cavendish(Nanica),1,554,caja,20,0,0
2,Exóticos/Importados,60,Banana,1,238,Cavendish(Nanica),1,126,Caja Carton,20,1,0
2,Exóticos/Importados,60,Banana,1,238,Cavendish(Nanica),1,125,Caja Madera,22,1,0
2,Exóticos/Importados,60,Banana,1,205,Ecuatoriana,0,533,caja,1,0,0
2,Exóticos/Importados,60,Banana,1,204,Importada,0,532,caja,1,0,0
2,Exóticos/Importados,62,Coco,1,161,-,0,496,-,1,0,0
2,Exóticos/Importados,62,Coco,1,239,Seco,1,555,-,1,0,0
2,Exóticos/Importados,62,Coco,1,239,Seco,1,127,Bolsa,,1,0
2,Exóticos/Importados,62,Coco,1,239,Seco,1,128,Malla,,1,0
2,Exóticos/Importados,62,Coco,1,262,Verde,1,129,-,,1,0
2,Exóticos/Importados,125,Cúrcuma,1,347,-,1,642,-,1,1,0
2,Exóticos/Importados,129,Echalote,1,353,-,1,,,,,
2,Exóticos/Importados,63,Jengibre,1,162,-,1,132,Caja Carton,,1,0
2,Exóticos/Importados,63,Jengibre,1,162,-,1,497,Caja carton,14,1,1
2,Exóticos/Importados,63,Jengibre,1,162,-,1,133,Malla Red,,1,0
2,Exóticos/Importados,70,Lima,1,169,-,1,500,-,1,0,0
2,Exóticos/Importados,70,Lima,1,169,-,1,137,Caja Carton,,1,0
2,Exóticos/Importados,70,Lima,1,169,-,1,138,Plancha Carton,,1,0
2,Exóticos/Importados,70,Lima,1,263,Dulce,0,575,-,1,0,0
2,Exóticos/Importados,70,Lima,1,263,Dulce,0,139,Plancha,,1,0
2,Exóticos/Importados,64,Mamon,1,163,-,1,142,-,,0,0
2,Exóticos/Importados,64,Mamon,1,241,Calimosa,0,557,-,1,0,0
2,Exóticos/Importados,66,Mandioca,1,165,-,1,499,-,1,0,0
2,Exóticos/Importados,66,Mandioca,1,165,-,1,143,Caja Carton,,1,0
2,Exóticos/Importados,65,Mango,1,164,-,1,498,-,1,0,0
2,Exóticos/Importados,65,Mango,1,164,-,1,144,Caja Carton,18,1,0
2,Exóticos/Importados,65,Mango,1,164,-,1,145,Plancha Carton,4,1,0
2,Exóticos/Importados,128,Maracuyá,1,352,-,1,,,,,
2,Exóticos/Importados,72,Palta,1,173,-,0,503,-,1,0,0
2,Exóticos/Importados,72,Palta,1,172,Hass,1,502,-,10,0,0
2,Exóticos/Importados,72,Palta,1,172,Hass,1,162,Caja,10,1,0
2,Exóticos/Importados,72,Palta,1,172,Hass,1,163,Caja Carton,10,1,0
2,Exóticos/Importados,72,Palta,1,172,Hass,1,164,Cajon,20,0,0
2,Exóticos/Importados,72,Palta,1,172,Hass,1,161,Plancha,,0,0
2,Exóticos/Importados,72,Palta,1,172,Hass,1,165,Unitario,,1,0
2,Exóticos/Importados,72,Palta,1,266,Lisa,1,578,-,1,0,0
2,Exóticos/Importados,72,Palta,1,266,Lisa,1,167,Cajon,20,1,0
2,Exóticos/Importados,72,Palta,1,266,Lisa,1,168,Granel Unitario,,1,0
2,Exóticos/Importados,72,Palta,1,266,Lisa,1,166,Plancha,10,1,0
2,Exóticos/Importados,108,Papaya,1,264,-,1,576,-,1,1,0
2,Exóticos/Importados,108,Papaya,1,264,-,1,140,Caja Carton,11,1,1
2,Exóticos/Importados,108,Papaya,1,265,Calimosa,1,577,-,1,1,0
2,Exóticos/Importados,108,Papaya,1,265,Calimosa,1,141,Caja Carton,,1,0
2,Exóticos/Importados,130,Pitahaya,1,354,-,1,,,,,
2,Exóticos/Importados,106,Pitahaya,1,243,-,1,558,-,1,1,0
2,Exóticos/Importados,106,Pitahaya,1,243,-,1,177,Caja Carton,4,1,0
2,Exóticos/Importados,123,Plátano,1,335,-,1,638,Caja,20,1,0
3,Frutas de Hoja Caduca/Nativos,54,Arándano,1,137,-,1,476,-,2.5,0,0
3,Frutas de Hoja Caduca/Nativos,54,Arándano,1,137,-,1,708,Caja,1.5,1,0
3,Frutas de Hoja Caduca/Nativos,54,Arándano,1,137,-,1,122,Petaca,0.125,1,0
3,Frutas de Hoja Caduca/Nativos,54,Arándano,1,137,-,1,123,Plancha,2.5,1,0
3,Frutas de Hoja Caduca/Nativos,61,Caqui,1,160,-,1,495,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,61,Caqui,1,160,-,1,130,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,61,Caqui,1,160,-,1,131,Plancha Carton,6,1,0
3,Frutas de Hoja Caduca/Nativos,76,Cereza,1,180,-,1,509,-,1,0,0
3,Frutas de Hoja Caduca/Nativos,76,Cereza,1,180,-,1,201,Plancha Carton,,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,89,-,0,437,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,90,Blanca,1,438,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,90,Blanca,1,206,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,90,Blanca,1,205,Plancha,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,90,Blanca,1,224,Plancha,10,1,1
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,95,Golden Japan,0,443,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,198,Importada,0,526,-,1,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,275,Leticia,0,587,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,275,Leticia,0,208,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,275,Leticia,0,207,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,276,Metley,0,588,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,276,Metley,0,210,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,276,Metley,0,209,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,277,O bilnaja,0,589,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,277,O bilnaja,0,212,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,277,O bilnaja,0,211,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,94,Red Beauty,0,442,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,278,Reina Claudia,0,590,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,278,Reina Claudia,0,214,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,278,Reina Claudia,0,213,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,91,Roja,1,439,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,91,Roja,1,632,Cajón,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,91,Roja,1,216,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,91,Roja,1,223,Plancha,10,1,1
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,91,Roja,1,215,Plancha,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,279,Rosa Nativa,0,591,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,280,Rosa Nativa,0,592,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,279,Rosa Nativa,0,218,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,279,Rosa Nativa,0,217,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,92,Santa Rosa,0,440,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,92,Santa Rosa,0,220,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,92,Santa Rosa,0,219,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,93,Stanley,0,441,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,93,Stanley,0,222,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,44,Ciruela,1,93,Stanley,0,221,Plancha,10,0,0
3,Frutas de Hoja Caduca/Nativos,45,Damasco,1,96,-,1,444,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,45,Damasco,1,96,-,1,179,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,45,Damasco,1,96,-,1,178,Plancha,10,0,0
3,Frutas de Hoja Caduca/Nativos,45,Damasco,1,96,-,1,180,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,97,-,1,445,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,97,-,1,236,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,176,Blanco,0,505,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,285,Blanco,0,597,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,176,Blanco,0,226,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,176,Blanco,0,225,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,176,Blanco,0,235,Plancha,10,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,364,Chato,0,,,,,
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,281,Estación,0,593,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,281,Estación,0,228,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,281,Estación,0,227,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,282,Muy Temprano,0,594,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,282,Muy Temprano,0,230,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,282,Muy Temprano,0,229,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,99,Pavía,0,447,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,98,Rey del Monte,0,446,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,283,Tardío,0,595,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,283,Tardío,0,232,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,283,Tardío,0,231,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,284,Temprano,0,596,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,284,Temprano,0,234,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,46,Durazno,1,284,Temprano,0,233,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,78,Granada,1,206,-,1,204,-,14,0,0
3,Frutas de Hoja Caduca/Nativos,78,Granada,1,206,-,1,203,Cajon,14,1,0
3,Frutas de Hoja Caduca/Nativos,78,Granada,1,206,-,1,202,Plancha,7,1,0
3,Frutas de Hoja Caduca/Nativos,47,Higo,1,100,-,1,193,-,7,0,0
3,Frutas de Hoja Caduca/Nativos,47,Higo,1,100,-,1,192,Plancha,7,1,0
3,Frutas de Hoja Caduca/Nativos,47,Higo,1,344,Negro,0,,,,,
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,101,-,1,448,-,10,1,0
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,333,Amarillo,0,,,,,
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,240,Hayward,0,556,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,240,Hayward,0,135,Caja,10,1,0
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,240,Hayward,0,134,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,240,Hayward,0,136,Plancha Carton,10,1,0
3,Frutas de Hoja Caduca/Nativos,48,Kiwi,1,197,Importado,0,525,-,1,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,339,Condessa,0,650,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,339,Condessa,0,647,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,105,Cripps Pink,1,257,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,105,Cripps Pink,1,256,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,105,Cripps Pink,1,255,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,114,Fuji,1,254,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,114,Fuji,1,253,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,114,Fuji,1,252,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,115,Fuji (Atm. controlada),0,458,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,116,Gala,1,251,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,116,Gala,1,250,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,116,Gala,1,249,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,117,Gala (Atm. controlada),0,459,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,112,Granny Smith,1,245,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,112,Granny Smith,1,244,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,112,Granny Smith,1,243,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,113,Granny Smith (Atm. controlada),0,457,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,199,Importada,0,527,-,1,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,342,Jonagold,0,,,,,
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,118,Mollies,0,652,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,118,Mollies,0,460,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,102,Otras,1,653,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,102,Otras,1,449,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,362,Pink Lady,0,690,Cajon,20,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,362,Pink Lady,0,691,Plancha,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,362,Pink Lady,0,696,Tabla/Palet,800,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,108,Red Chieff,0,453,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,109,Red Chieff(Atm. controlada),0,454,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,106,Red Delicious,1,248,-,20,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,106,Red Delicious,1,247,Cajon,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,106,Red Delicious,1,246,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,106,Red Delicious,1,698,Tabla/Palet,800,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,107,Red Delicious(Atm. controlada),0,452,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,110,Red Top,0,455,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,111,Red Top (Atm. controlada),0,456,-,10,0,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,103,Roja,1,661,Cajón,20,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,103,Roja,1,450,Plancha,10,1,0
3,Frutas de Hoja Caduca/Nativos,49,Manzana,1,104,Verde,1,662,Cajón,20,1,0
